version,maxTotal,maxPerRoute,url,p50,p90
4,200,50,amazon,4779,5073
4,200,50,netflix,4759,5003
4,200,50,google,4884,5833
4,200,50,microsoft,4831,5446
4,400,100,amazon,4853,5508
4,400,100,netflix,4807,5239
4,400,100,google,4836,5272
4,400,100,microsoft,4853,5262
4,600,150,amazon,4862,5151
4,600,150,netflix,4838,4941
4,600,150,google,4910,5589
4,600,150,microsoft,4889,5466
4,800,200,amazon,4838,5284
4,800,200,netflix,4801,5150
4,800,200,google,4906,5221
4,800,200,microsoft,4871,5516
4,1000,250,amazon,4745,5385
4,1000,250,netflix,4807,5160
4,1000,250,google,4702,5472
4,1000,250,microsoft,4829,5108
5,1000,250,amazon,4817,5395
5,1000,250,netflix,4778,5000
5,1000,250,google,4867,5635
5,1000,250,microsoft,4767,5693
